,A375_SKIN,A549_LUNG,HEPG2_LIVER,HT29_LARGE_INTESTINE,MCF7_BREAST,PC3_PROSTATE,YAPC_PANCREAS
IRGQ,7.18,5.08,4.58,6.05,6.28,2.14,3.95
ZNF226,23.54,20.08,6.04,20.8,16.91,8.15,16.31
ZNF180,7.04,7.6,3.41,4.86,4.71,2.88,4.32
POM121L3P,0,0,0,0,0,0,0
PPP2R3B,7.15,7.79,11.09,11.11,7.83,10.01,18.41
ZNF668,13.47,5.74,6.24,6.17,6.49,5.45,6.06
ZNF646,9.88,3.31,6.84,7.84,6.86,1.97,8.09
VKORC1,167.41,78.1,200.15,46.72,161.51,122.07,37.78
GNG8,0,0,0,0,0,0,0
LPO,0,0,0.02,0,0,0.02,0
CA4,0,0.1,0,0.23,21.02,0,0
SMG8,16.3,22.79,12.76,7.46,32.39,14.99,12.14
LINC00905,0,0,0,0,0,0,0
TPM4,172.24,637.33,153.2,176.83,258.02,117.76,257.42
RAB8A,75.38,40.02,43.2,48.64,101.27,50.99,63.59
GPX4,143.22,170.29,353.07,291.87,288.16,176.6,253.65
MIDN,12.53,7.54,34.77,20.92,26.37,6.99,26.5
JSRP1,1.25,0.6,1.53,1.4,1.94,0.96,9.57
NIBAN3,0.12,0.1,0.01,0.21,0.06,0.02,0.39
KLHL26,6.7,1.03,2.33,2.28,4.06,2.3,9.24
GATAD2A,41.76,15.7,23.74,23.91,35.6,26.25,37.93
NOS2P2,0,0,0,0,0,0,0
MVD,16.62,14.59,94.6,60.85,94.87,19.5,48.65
CDT1,22.55,11.02,36,30.14,31.22,6.66,19.69
TRAPPC2L,53.71,35.65,51.92,83.23,114.93,35.25,24.55
ANKRD11,58.31,27.28,41.61,47.93,47.68,15.87,61.59
SPATA33,9.16,6.76,7.9,11.81,10.35,3.99,9.09
RSKR,6.49,3.96,3.08,7.25,7.98,2.35,8.85
PROCA1,3.88,1.04,0.57,1.35,3.41,1.11,8.07
RPL13,2238.8,1102.6,3791.2,3053.3,3935.9,810.77,2405.2
ZNF641,2.49,5.26,2.14,5.95,7.02,3.44,7.48
LALBA,0,0,0,0,0.15,0,0
CACNB3,15.28,9.2,0.15,20.88,22.34,14.48,13
DHRS13,7.77,3.65,7.68,6.89,13.97,0.96,14.78
TP53I13,30.43,25.82,15.05,45.68,47.14,19.35,53.38
KMT2D,29.1,14.57,20.07,31.58,31.57,7.23,36.16
CORO6,0.23,3.12,0.39,0.15,0.07,0.41,1.8
RHEBL1,7.63,2.18,1.16,1.57,0.99,4.69,2.03
TUBA1A,87.22,119.84,4.22,3.03,64.09,48.85,21.13
TUBA1C,716.4,791.02,327.44,416.39,467.01,508.35,458.54
ZNF610,0.23,0,0.21,0,0.5,0.73,0.21
ZNF528,7.62,0.27,4.45,0.01,1.56,4.67,8.88
ZNF701,1.61,0.18,1.05,0.15,2.06,1.91,3.54
SERTAD3,10.57,34.05,6.69,16.19,32.34,8.79,18.66
NCKAP5L,12.51,3.59,6.66,6.03,6.52,2.71,3.14
RAB4B,22.92,10.2,3.33,29.24,24.57,7.39,12.36
AQP2,0.01,0,0,0.66,0.01,0,0
GPD1,0.72,0.16,14.03,7.05,0.14,0.29,0.64
PROSER3,16.94,12.85,4.29,21.38,15.39,2.38,20.44
CYP2S1,0.35,16.04,2.71,27.63,0.68,4.11,8
AXL,66.34,62.81,1.47,0.47,0.16,84.5,31.63
NFKBID,7.15,3.82,1.47,10.47,6.08,2.81,8.99
TMC4,0.8,0.51,0.28,45.04,62.18,10.66,33.46
ANKRD33,0,0,0.01,0,0,0.01,0.16
LAIR1,0,0,0.39,0.01,0.01,0.08,0.27
TTYH1,0.41,0.11,7.13,0.38,0.6,1.08,0.4
LENG8,93.63,29.35,45.97,178.24,105.01,53.74,52.99
CDC42EP5,3.25,0,1.06,14.82,1.53,0.8,37.9
LAIR2,0,0,0.22,0,0,0,0.79
TMEM145,0.72,1.28,0.67,0.21,0.18,0.58,0.04
ZNF526,5.21,7.17,4.7,6.88,4.36,2.18,3.34
TRAPPC9,5.47,4.06,3.12,22.76,17.96,4.72,14.15
KIR3DL1,0,0,0,0,0,0,0
NLRP7,0,0,0,0.01,0.01,0,0.01
ZNF146,69.36,139.21,23,70.26,56.52,45.35,121.77
ZNF283,8.17,5.38,2.96,5.75,3.65,0.9,5.15
PPP1R14A,0.12,44.01,0.11,0,0,0.03,1.95
SPINT2,0.76,333.11,0.76,827.89,1008.8,402.31,1114.4
C19orf33,2.83,431.54,2.5,710.63,209.74,100.92,724.69
YIF1B,71.68,83.83,47.66,72.38,82.84,46.43,65.45
DNAAF3,2.11,3.15,0.48,7.5,4.67,11.06,3.75
PSCA,1.17,0.57,0,9.04,0.39,2.84,4.84
ATCAY,0.03,0.05,0.02,0.01,0,0.01,0.01
LY6D,0.08,0.07,2.94,0.5,1.26,0.27,267.68
DAPK3,49.13,45.82,32.54,27.56,29.97,30.13,31.84
EEF2,1240.9,383.92,1134.1,874,1148.2,290.83,639.67
TMIGD2,0.02,0.26,0.43,0,0,0,0
CHAF1A,49.1,16.75,25.4,25.93,17.22,17.62,30.26
UBXN6,59.01,22.6,28.74,40.15,25.11,33.12,45.96
HDGFL2,51.84,19.93,41.04,37.1,25.84,47.73,34.89
PLIN4,0.61,0.05,0.95,1.97,1.05,1.25,0.4
SEMA6B,21,4.18,67.68,0.24,10.29,2.13,5.2
ZNF444,12.64,9.46,30.27,28.04,25.37,16.96,11.46
NXN,1.53,20.41,19,34.51,4.97,4.04,23.15
TLCD3A,22.53,22.34,25.73,11.81,11.66,11.59,9.18
GLOD4,45.95,89.56,74.43,42.03,74.29,29.84,52.54
MFSD3,17.83,13.5,15.45,15.2,36.8,28.61,33.68
GPT,0.72,0.16,3.65,9.91,1.81,0.35,0.93
KIFC2,8.14,5.45,5.13,8.22,79.96,30.05,32.93
SLC43A2,3.32,6.51,17.18,13.42,17.82,2.08,13.36
RILP,5.6,6.78,2.75,2.97,2.46,5.47,9.28
SERPINF2,0.89,1.31,329.02,3.55,0.22,0.59,6.22
WDR81,14.88,7.61,13.99,8.36,10.57,3.55,7.41
SRR,7.68,9.23,5.57,2.62,17.24,6.82,4.05
TSR1,91.47,65.3,23.66,24.49,43.8,22.87,19.19
TRPV3,0.01,0.45,0.49,0.29,0.93,0.73,0.78
HSD11B1L,16.8,0.98,2.33,0.92,1.03,3.92,3.81
CYB5D2,20.22,10.6,7.43,5.35,26.5,8.17,9.1
GGT6,0.01,0.01,0.37,5.76,0.18,0,0.07
C19orf48,117.19,105,80.19,179.49,121.43,86.18,93.3
KLK1,0.1,0.05,0,5.6,0.05,0.05,9.01
KLK4,0,0.03,0,0.02,0.07,0.03,0
KLK2,1.07,0.12,0.34,0.26,0.2,0,0
KLK5,0.05,0.07,0.05,0.06,0.06,19.33,0.09
KLK6,1.48,0.1,0.27,152.95,2.11,23.34,130.04
KLK11,0.06,0,0.04,87.98,6.78,0.23,0.47
KLK13,0,0,0,0,0.12,0.02,0.57
ZNF83,13.88,0.2,11.52,12.44,26.27,16.95,31.6
KRT80,26.39,50.54,0.81,17.66,35.54,12.37,89.93
KRT1,0.01,0.01,0.01,0.08,0.05,0.05,0
ACER1,0,0,0,0,0.03,0.03,0
OTUB1,101.55,92.49,68.15,96.69,107.33,72.88,162.9
RCOR2,0.36,0.47,4.91,0.77,1.82,0.38,9.65
ANGPTL4,9.49,37.57,6.66,0.26,8.32,3.36,4.43
CD320,103.26,50.4,101.91,51.96,52.27,167.4,18.94
SPRYD3,13.68,16.25,9.76,24.82,40.86,9.16,17.12
IGFBP6,52.45,48.37,3.41,70.78,0.73,180.27,14.74
SOAT2,0.04,0.11,32.77,0.12,0.03,0.31,0
ZNF558,6.96,4.98,2.91,8.14,5.7,9.04,13.62
CABP2,0,0,0,0,0,0,0
NDUFV1,150.96,75.26,84.83,181.6,174.74,130.11,175.76
CDK2AP2,40.45,34.79,22.2,50.68,60.46,44.71,67.35
C3P1,0.01,0,0,0.1,0,0,0
NUDT8,3.01,2.93,10.36,6.99,6.57,6.47,20.2
TBX10,0.42,0,0.8,1.99,0.01,0,0.03
PRDX2,270.43,0.98,310.08,202.8,429.77,279.31,232.63
OR8J3,0,0,0,0,0,0,0
OR5I1,0,0,0,0,0,0,0
ZNF232,15.69,3.87,9.78,9.58,5.27,1.95,4.78
MIS12,24.34,19.23,10.49,12.5,18.21,8.96,14.27
CD300C,0,0.05,0.01,0.21,0.05,0.03,0.03
CD300A,0.02,0,0,0,0.02,0.04,0.08
TEKT1,0.04,0,0,0,0.01,0,0.6
HID1,0.18,3.8,2.74,24.81,62.14,20.45,15.77
MRPL58,54.75,83.82,34.53,42.77,65.24,79.13,43.64
ATP5PD,289.23,369.85,284.96,323.48,467.63,461.48,570.86
TMEM88,0.92,0.22,0.47,0.3,0.99,0.09,0.97
EVPL,0.1,6.46,6.19,11.7,15.52,11.3,64.62
SRP68,61.56,81.52,71.95,47.11,61.66,63.19,100.35
MGAT5B,5.06,2.9,0.08,0.05,9.56,5.05,12.85
TMC8,0.12,0.19,1.34,6.07,0.26,0.36,8.95
TK1,173.15,159.72,100.57,239.52,142.83,189.72,207.4
TMEM68,15.77,16.73,11.38,13.53,16.64,4.37,24.71
CYP7A1,0,0,0.24,0,0,0,0.05
GSDMA,0,0.01,0.03,0,0,0,0
KRT24,0,0,0,0,0.25,0,0
TMEM99,20.61,30.89,19.95,20.04,15.52,9.42,15.48
GHDC,11.79,12.32,18.47,12.93,5.36,0.02,28.03
FAM234A,55.59,28.67,42.59,25.16,83.57,20.96,23.79
SOST,0,0.02,0.02,0,0,0.01,0
ZNF598,58.79,22.19,19.11,43.51,33.45,20.54,22.09
RAB26,4.76,2.31,1.09,10.16,13.47,2.02,3.99
MLST8,43.91,27.76,34.31,50.84,34.48,26.4,31.26
E4F1,18.02,10.44,9.43,17.69,18.76,11.94,13.61
DNASE1L2,0.64,0.34,0.17,0.61,7.6,0.61,0.94
ECI1,26.33,28.7,52.88,53.74,69.2,23.24,64.18
CASKIN1,0.14,0.07,0.77,0.03,1.12,0.11,0.28
ABCA3,0.1,4.87,0.33,0.05,22.06,6.12,1.13
KCTD5,30.64,17.83,24.46,34.03,31.03,15.56,28.97
SRRM2,325.73,149.13,219.84,386.77,329.12,116.4,304.33
ZNF597,1.81,1.19,1.28,1.87,1.58,0.01,0.02
NLRC3,0.09,0.15,0.02,0.05,0.15,0.05,0.49
SDHAF2,54.73,39.94,31.94,43.95,42.62,46.7,28.85
DDB1,147.41,125.72,132.22,159.53,137.08,115.41,71.5
VPS37C,13.54,7.06,9.02,22.51,22.02,7.21,13.26
VWCE,1.09,0.3,43.68,0.04,0.35,0.21,0.23
RAB3IL1,3.87,3.16,2.32,0.18,1.4,2.45,1.05
BEST1,1.1,2.54,0.47,1.31,1.18,1.05,0.99
FTH1,869.41,3484.4,2267.4,4301.9,1393.9,2758,657.42
BSCL2,80.78,47.29,5.92,78.55,167.5,43.32,40.03
POLR2G,185.21,129.42,47.48,200.44,241.84,137.02,80.66
SLC3A2,305.93,966.58,163.44,226.22,1080.8,133.48,239.96
PLAAT5,0,0.09,0,0.14,0,0,0
SPINDOC,36.45,19.85,23.23,20.44,16.97,28.35,66.14
ATG16L2,3.8,1.76,4.05,6.13,15.25,3.33,22.3
C2CD3,14.66,18.27,5.83,18.19,11.76,10.42,37.51
TRANK1,3.21,1.42,0.28,0.29,0.76,0.69,5.3
TTC21A,0.85,0.58,0.15,1.8,1.26,1.46,0.91
RPSA,3568.6,2289.7,1287.4,1256.6,1014.1,2303.5,1144.4
ENTPD3,0.02,0.02,0.01,0.01,0.17,4.17,0.14
CTNNB1,166.79,151.08,114.39,61.7,86.04,89.38,128.4
ULK4,20.16,2.99,3.77,3.74,4.19,2.58,2.43
FADD,31.99,22.17,14.97,37.87,35.76,36.43,46.89
LTBP3,137.74,20.18,45.73,70.46,69.93,48.56,128.14
NAALADL1,0.43,0.15,12.15,0.14,0,0.38,0.73
SAC3D1,10.98,11.03,18.35,17.18,14.37,23.55,21.19
BATF2,1.26,0.46,2.14,2.55,0.14,0.11,5.15
SLC22A11,0.11,0.05,0.8,0,0.01,0,0.02
SF1,176.18,133.84,142.61,212.1,145.17,102.67,215.48
MAP4K2,18.32,5.55,5.27,16.59,6.09,17.51,12.88
MAJIN,0,0.06,0,0,0,0,0.22
CCDC88B,4.22,5.38,3.23,6.25,2.24,9.4,11.72
SCARA3,1.68,27.24,6.7,0.06,3.46,10.26,3.11
PBK,69.92,83.15,31.94,10.36,31.41,47.92,39.82
SCARA5,6.13,3.64,0,0,0.12,1.93,0.14
PNOC,0,0,0,0,0,0,0.04
COPS6,184.01,167.88,88.24,193.02,220.8,178.55,170.59
PAFAH1B2,47.16,31.43,23.06,42.99,15.78,23.66,60.28
ANKS3,16.13,17.2,8.01,16.21,13.86,8.82,10.47
NUDT16L1,34.06,15.6,32.55,35.03,62.62,18.96,18.44
KIAA1586,6.95,4.05,6.65,3.72,4.79,2.93,10.33
RAB4A,21.85,20.96,48.5,44.93,24.29,23.7,43.85
ZNF355P,0,0,0,0,0,0,0
OR1F1,0.24,0.1,0.2,0,0.02,0,0
OR2W6P,0,0.02,0.03,0,0.24,0.16,0
DHFRP3,0,0,0,0,0,0,0
OR2B2,0,0.02,0,0,0.05,0,0
KCNJ4,0.06,0.01,0.03,0.01,0.13,0,0.11
SETD5,52.65,31.12,34.76,33.34,56.51,25.75,32.39
VASN,1.07,2.64,29.95,0.6,7.51,3.37,1.45
FAM83B,0.28,0.01,0,7.63,9.43,0.01,2.91
H3-4,0,0,0,0.12,0.21,0.28,0
THAP9,2.12,1.8,2.92,3.34,1.86,0.89,3.85
OR2C1,0,0,0,0,0,0,0
RNF187,175.36,91.34,84.5,53.18,151.84,116.93,121.15
HOOK3,3.65,6.05,4.21,0.88,1.32,1.26,7.02
MAPK1IP1L,46.35,31.99,35.85,25.6,57.25,50.67,48.14
DDIT4,218.82,86.89,41.85,89.15,112.66,11.62,137.25
RBPJ,65.06,15.8,15.25,21.07,16.49,15.88,34.15
LMBRD1,8.16,11.99,11.46,14.88,19.4,6.54,27.25
ZCCHC4,9.55,5.55,5.51,5.73,2.95,5.08,5.1
PTGDR,0,0,0.01,0.1,0.01,0,0.01
TTC39C,8.17,5.15,9.28,3.29,15.83,8.15,3.82
GLYCTK,15.31,3.3,78.12,13.17,1.58,3.1,5.22
GNG4,21.49,6.71,29.9,0.34,0.16,0.04,41.59
UBTD2,14.34,13.54,14.02,8.24,11.2,12.41,20.44
POLR2J3,48.63,22.1,37.12,60.61,67.75,66.68,33.64
NKIRAS2,54.5,27.9,30.41,31.86,34.55,10.29,57.32
DNAJC7,132.93,120.35,84.41,78.08,62.87,42.11,108.96
KCNV2,0.43,0.06,0.06,0.12,0.09,0.04,0.02
IRF2BP2,40.19,24,109.86,76.74,64.36,21.35,98.04
PTF1A,0,0,0,0,0,0,0
NT5DC2,77.66,42.56,139.55,70.55,44.1,158.63,57.08
FOXI1,0,0,0,0.01,0.82,0,0
SMIM4,73.31,16.95,34.98,35.7,50.83,35.8,19.41
COA6,88.41,104.19,69.19,54.68,53.93,24.21,67.48
KIF5C,3.33,0.29,0.07,0,3.55,0.72,0.19
MGAT2,21.92,13.54,23.74,15.77,21.71,33.33,47.74
BMI1,26.46,37.42,14.22,23.56,30.47,38.79,20.19
THAP11,33.91,22.54,27.81,20.03,22.12,16.46,29.94
MMADHC,137.89,140.94,83.73,117.52,123.64,91.57,122.12
PDHB,151.87,67.26,109.79,48.33,57.05,80.6,43.25
PXK,12.25,4.63,5.64,0.45,1.9,6.45,3.12
H1-4,4.37,0.64,3.17,3.95,0.83,1.06,1.5
PCMTD1,13.81,8.89,7.57,15.18,9.76,2.5,38.82
KCTD6,9.04,8.17,7.84,2.89,2.86,6.91,3.22
MPLKIP,4.46,2.55,6.06,4.6,2.32,3.79,5.13
ACOX2,17.84,3.28,33.33,0.04,1.16,3.01,1.62
FAM107A,0.04,0.01,0.16,0.05,0.01,0.12,0
IRF2,16.97,9.41,12.32,9.54,5.68,4.05,36.45
MOBP,0,0.01,0,0,0.08,0.06,0
CX3CR1,0,0.04,0.01,0.01,0.02,0.04,0.16
PPDPFL,0,0,0,0,0,0,0
XIRP1,0,0.02,0,0,0.01,0.01,0
INSM2,0.01,0,0.01,0,0.02,0,0.01
DEGS2,0.03,1.05,0.11,14.51,20.51,0.3,0.12
SCN11A,0.01,0,0.01,0,0,0.01,0
LINC00917,0.02,0,0,0,0,0,0
ARF4,203.1,139.09,182.07,129.05,137.86,194.93,141.37
SEPTIN2,143.23,347.17,323.17,192.65,177.94,117.11,306.5
FILIP1L,0.1,0.26,31.37,1.96,1.38,0.05,12.99
MFSD2A,11.35,2.3,0.1,4.53,1.42,3.92,1.43
DTYMK,63.94,86,74.1,85.23,68.06,84.99,55.2
TAP1,16.92,23.84,14.01,3.26,3.66,15.18,33.92
ING5,14.14,11.84,25.5,21.71,18.5,7.44,22.09
ATG4B,49.67,41.98,112.17,70.39,104.18,43.89,69
BDKRB2,0.02,2.23,0.01,0.03,3.02,0.02,5.96
MLKL,11.39,10.02,4.89,13.47,3.41,5.02,10.74
CMAHP,0.74,0.07,0.06,0.84,0.83,0.16,0.18
RFWD3,47.14,33.91,25.7,25.6,32.83,11.51,26.2
MTNR1A,0.14,0.25,0.02,0,0,0,0.19
KCNG4,0.03,0,0,0,0,0,0
RHOH,0.06,0.03,0.34,0.09,2.8,0.02,0.31
KLHL30,0.02,0.03,0.01,0.47,0,0.01,0.62
COG7,15.06,10.2,15.57,13.02,17.05,5.1,13.18
CDC40,12.59,8.99,7.41,13.31,13.21,6.52,11.85
STIP1,280.67,325.9,138.43,220,236.03,200.12,410.21
SCNN1B,0.06,0.69,0.01,0,1.95,2.67,4.02
HR,48.41,7.23,1.94,0.95,5.76,11.67,4.65
TXNDC2,0.04,0.04,0,0,0.16,0,0
RAB31,4.54,11.12,0.25,0.23,27.83,1.18,12.98
REEP4,29.51,34.46,25.99,17.17,37.71,39.55,25.42
TNXB,1.43,0.16,0.61,1.03,1.27,1.72,2.24
LGI3,0.01,1.04,0.02,0.09,0.02,0.05,0.01
SFTPC,0,0.06,0.02,1.09,0,0.02,0
BMP1,9.04,29.29,6.74,4.36,5.21,8.86,5.45
ATXN2L,90.44,39.1,90.84,69.77,73.44,30.66,70.62
PHYHIP,2.11,0.35,0.19,0.08,0.03,0.14,1.7
CCDC110,0.03,0.32,0.03,0.1,0.13,0.74,0.34
POLR3D,38.37,26.97,28.59,7.46,14.07,9.18,12.2
FEN1,127.8,78.12,49.06,94.29,66.4,67.01,55.71
CAVIN2,0.02,8.95,16.2,0.45,0.01,0.25,2.6
MTCL1,4.16,30.11,2.67,12.02,6.07,11.51,35.83
GBX2,0.57,1.25,0.05,0,0.81,15.08,1.59
HJV,0,0,0.05,0,0.01,0,0
SCGB1D1,0,0,0,0,0,0,0
HEXIM2,20.16,11.61,28.39,4.22,7.28,12.95,8.85
FNTA,26.17,50.07,45.36,18.11,8.42,24.19,36.18
SERINC2,18.53,6.95,23.23,52.86,9.23,48.21,40.62
MYL1,0,0,0,0,0,0,0.44
TRAPPC11,17.55,10.68,8,7.99,7.75,5.6,19.65
CHRM1,0.35,0,0,0.07,0.03,0,0.06
COL3A1,0.02,2.08,0.11,0.06,0.36,0.46,0.79
GFRA2,0.28,0.23,0.01,0,0.81,0,0.08
ING2,17.41,9.46,10.31,9.57,9.53,10.63,18.98
CDKN2AIP,16.95,10.49,10.46,7.53,5.04,9.06,16.49
SNRNP48,10.13,9.24,17.25,9.95,8.01,4.21,10.33
TMEM223,36.74,17.8,14.74,33.45,25.43,17.76,18.47
SLC20A2,16.42,12.14,45.34,10.15,17.62,12.97,32.31
CRYGA,0,0,0,0,0,0,0
DYNLRB2,0.47,0.15,0,0.11,2.44,0.07,2.64
TMUB2,22.28,24.99,17.25,26.49,20.8,32.96,39.02
ADAM29,0,0,0,0,0.03,0,0
STAT3,36.93,79.52,36.2,24.84,23.32,0.12,53.47
ZSWIM1,8.4,4.88,8.67,10.98,8.43,4.85,8.92
ADAM9,51.54,272.61,56.36,38.68,25.3,69.63,152.15
ADAM18,0,0,0,0,0.01,0,0.07
GDNF,6.1,0,0.15,0.01,0.02,0.11,0.02
SPINT5P,0,0,0,0,0,0,0
MUCL3,0.01,0.04,0,0.74,0,0.06,0.1
WFDC13,0,0,0,0,0.07,0,0.18
AXIN2,0.49,0.49,51.78,28.96,0.98,1.11,1.22
NDUFS5,738.15,456.52,427.25,694.1,627.05,559.53,698.78
VWA3B,0,0,0,0.09,0.25,0,1.45
ZNF30,3.54,6.99,1.56,4.31,2.98,2.17,2.33
UGT3A2,0.07,0,0,0.02,0.02,0.08,0.02
LRATD2,179.13,1.27,1.27,126.69,82.27,42.57,76.92
LDLRAD4,0.61,2.93,11.11,1.27,2.09,0.05,0.61
KCTD19,0.05,0.32,0.11,0.05,0.01,0,0
SLC16A4,10.21,53.1,1.07,5.53,0.97,0.14,6.22
IL7R,6.69,0.04,0,0,0,3.45,0.3
TMEM208,99.65,73.39,64.72,58.2,113.48,50.71,53.91
LRP1B,0.23,0.06,0.01,0,0.01,0.02,0.04
WFDC12,0.04,0,0,0,0,0.1,0
AHCYL1,71.23,69.26,49.84,71.25,45.44,31.08,31.03
DNAJC21,39.29,30.16,26.78,59.23,39.63,21.09,28.85
PKIG,51.61,18.43,48.75,0.56,16.41,28.2,11.92
NPNT,0.25,0.49,6.94,25.17,41.11,16.77,0.28
LINC01620,0,0,0,0,0,0,0
CA7,0.02,0.01,0.01,0.03,0,0.01,0
FAM178B,3.16,0.15,0,0.18,12.36,0.16,0.14
TSPY2,0,0,0,0,0,0.01,0
SEMA4C,26.61,6.12,23.57,4.96,118.07,10.14,23.12
CNNM3,6.72,10.09,25.33,17.09,20.43,7.68,12.54
GSTM4,21.84,6.61,23.81,0.86,11.56,11.42,3
TET2,2.82,2.26,1.2,2.79,8.98,1.36,4.01
CXXC4,0.69,0.42,0.03,0.63,0.26,0.04,0.57
TCTN2,10.84,7.99,5.11,5.26,3.5,8.55,9.79
SHOX2,7.26,0.7,0.01,0.07,0.47,0.17,0.18
PPIP5K1,9.37,4.83,3.45,39.47,13.6,9.49,27.27
TSPAN5,4.32,6.33,0.2,8.46,19.93,36.95,8.98
ABHD15,5.52,10.64,2.66,8.95,6.36,2.9,11.44
ZBTB5,8.89,6.15,6.1,5.46,6.73,2.85,4.68
CHTF8,101.25,60.33,52.49,104.23,76.28,44.36,127.41
ADAL,9.4,3.43,5.04,7.4,4.67,3.66,4.77
LCMT2,17.54,3.61,3,11.37,8.07,4.65,7.27
SNTB2,22.2,6.05,4.8,5.7,6.36,4.9,5.16
IL12A,1.12,0.66,0.37,0,0,0.99,1.55
ZNF507,9.76,15.96,6.11,7.7,5.91,3.09,19.8
STX18,15.02,19.07,20.26,20.45,11.52,10.57,20.44
NSG1,0.21,0.11,0.03,0.03,0.02,0.09,2.1
ZBTB49,4.38,1.65,1.89,2.47,2.42,1.58,4.3
GFM1,42.37,46.48,19.48,34.19,37.5,15.36,33.04
OR13J1,0,0,0,0,0,0.02,0
HTR1E,0,0,0.01,0,0.83,0,0
FSTL5,0.16,0.01,0.01,0,0.02,0,0.41
TPTE2P5,2.8,0.13,1.77,1.14,1.94,0.11,1.75
DDX19A,62.68,34.2,55.69,25.59,35.21,13.42,25.02
ATOH8,5.47,1.51,2.49,0.82,0.12,0.1,0.17
SOX14,0,0,0,0,0,0,0
ANKRD49,10.74,7.71,6.24,18.21,7.42,8.57,46.97
SFTPB,0.01,0.01,0,0,0.01,0.01,0.25
USP39,65.45,79.92,62.26,62.25,56.51,46.07,69.8
TNIP2,20.74,19.02,18.95,41.19,26.56,19.45,30.33
C2orf68,24.32,17.41,22.51,23.85,26.81,10.23,26.22
TMEM150A,6.35,5.31,41.38,8.34,14.2,3.14,8.11
RNF181,145.31,164.32,155.53,96.79,203.07,167.7,174.47
VAMP5,61.93,0.12,25.7,14.48,5.58,0.89,61.92
BTNL3,0,0,0,0.02,0,0,0
LRRC28,11.77,18.55,7.57,8.14,15.6,4.9,23.44
MAT2A,224.57,260.57,112.6,218.86,187.03,193.87,171.43
PLA2G4F,0.02,0,0.01,2.61,4.36,0.71,5.03
ENHO,0.59,0.74,0.04,0.29,0.28,0.54,0
ZNF608,12.11,0.45,0.63,4.74,1.24,0.48,32.06
SLC35G2,17.47,14.23,5.07,0.67,0.19,2.76,5.49
INPP5D,0.54,0.29,24.44,23.94,0.28,0.4,20.85
LETM1,42.27,17.77,18.21,24.27,25,14.94,23.62
CTRB1,0,0,0,0,0,0,0
CTRB2,0.01,0.01,0.13,0.05,0.11,0,0.07
TRIM49,0.03,0.03,0,0,0,0,0
TMEM129,18.1,6.09,18.65,24.74,14.06,8.65,33.89
PPIC,24.64,14.57,11.62,41.58,105.4,20.04,34.48
SPRY3,0.28,0.09,0.05,0.72,0.81,0,1.1
CEP120,7.8,10.42,3.95,4.9,9.31,3.11,7.14
STXBP6,2.12,4.7,19,7.97,0.16,0.04,0.07
TM4SF20,0,61.27,0.01,0.03,0,0.02,0.08
MFF,54.25,115,84.66,44.92,45.22,41.26,65.88
GRM5,0.06,0.01,0,0,0,0,0.03
LGALS9,0.3,0.55,0.25,38.07,0.97,0.28,138.89
PMCHL1,0.01,0,0,0,0,0,0
JMJD7-PLA2G4B,1.76,0.38,1.25,2.83,3.01,1.91,4.64
OR7E102P,0.03,0,0,0,0.02,0.28,0
CPLX1,0.13,0.17,1.3,0.23,7.08,1.04,3.47
PXDC1,32.17,10.06,39.36,10.94,0.22,20.96,21.66
SIGLEC7,0.02,0,0,0,0,0,0.11
NTSR2,0,0,0,0,0.06,0.01,0
E2F6,23.48,33.21,25.21,16.77,29.63,11.13,21.19
FEM1B,14.69,16.27,7.47,12.59,17.22,4.1,21.04
COMMD8,30.33,21.79,9,18.46,13.02,8.78,29.98
ATP5ME,652.1,282.81,398.64,646.54,692,360.66,541.79
UQCRFS1,60.89,201.99,67.69,93.3,103.41,51.84,147.69
SLC49A3,0.41,0.09,0.12,0.02,0.1,0.01,0.4
COL4A3,0,2.76,0,0,0.02,0.04,0.11
MAP2K1,43.08,51.52,26.81,63.62,39.94,40.29,69.49
KLK7,0,0.02,0.04,0.35,0.02,0.18,0.45
PMCHL2,0,0,0,0,0,0,0
HNRNPH1,515.96,407.03,380.17,434.08,727.78,262.78,649.52
IRS1,2.73,5.1,6.95,14.42,33.96,7.66,30.01
MECP2,19.29,8.64,6.61,17.46,13.08,6.79,19.72
VCX3A,23.46,0.03,0.02,0,0.04,0.12,0.06
UPF3A,53.24,26.69,57.94,60,33.26,30.15,29.43
ZBBX,0.29,0,0,0.08,0.01,0.04,0.67
ACTBL2,0.55,0.06,0,0.04,0.03,0.03,0.81
ROR2,0.18,0.08,0,0.01,0.02,0.02,0.36
BRD7P3,0.03,0,0,0,0,0,0
AR,0.61,1.6,0.02,0.04,6.18,0.02,0.02
DHRSX,5.01,21.76,17.67,8.91,8.83,6.98,33.87
VXN,0.72,0.66,0.75,0.02,2.04,0.31,0.38
HSPBAP1,7.81,3.9,1.87,5.42,1.61,4.86,5.41
ASMTL,8.04,11.74,12.75,19.91,32.41,3.91,10.53
SLC25A6,251.53,211.11,432.42,330.75,321.64,157.73,602.34
CHST14,24.46,8.28,15.3,5.35,5.26,15.38,21.22
PARM1,1.17,1.67,0.02,0.45,9.7,0.68,2.29
CSNK1G1,8.2,8.1,2.77,8.92,10.74,2.54,10.12
FAM110B,0.14,0.07,2.2,0,1.25,0.65,0.01
ODAD2,0.03,0.03,0.05,0,0.33,0.8,1.46
AFAP1L2,15.81,22.63,0.01,8.95,12.34,0.25,47.17
